,id,songName,albumName,albumID,explicit,releaseDate,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumental,liveness,valence,tempo,duration_ms,time_signature
125,2YmfV4lAjrAQvuggKCUX6m,Sweet Venom,ORANGE BLOOD,7dsAlxH9cMgyREm8OLdWWT,False,2023-11-17,0.84,0.673,10,-3.685,1,0.0427,0.0426,0.0,0.0971,0.911,115.004,148753,4
126,68gQG2HpRMxIRom4pCugMq,Chill Kill,Chill Kill - The 3rd Album,4UUICitfodUVCNhzmDFbrO,False,2023-11-13,0.531,0.747,0,-3.717,1,0.0946,0.0549,0.0,0.244,0.434,148.039,214800,4
127,1OG1NoKpZZLrMqMYCk9m84,LALALALA,ROCK-STAR,0aJnGEZWIc1VCYlZOXv05a,False,2023-11-10,0.705,0.849,0,-2.595,1,0.0493,0.0647,0.0,0.653,0.609,125.976,182224,4
128,618OKP1lBkNJL8uZdNSvQE,MANIAC,The 4th Mini Album 'VERSUS',56EQPw5TQ6OPVYbbmuzw7y,False,2023-11-02,0.753,0.579,9,-4.514,1,0.071,0.19,0.0,0.0931,0.818,114.961,195520,4
129,2KslE17cAJNHTsI2MI0jb2,Standing Next to You,GOLDEN,5pSk3c3wVwnb2arb6ohCPU,False,2023-11-03,0.711,0.809,2,-4.389,0,0.0955,0.0447,0.0,0.339,0.816,106.017,206020,4
130,7uyeEbG6hyApgXuEypGcsZ,Baddie,I'VE MINE,5J7VAdKdGZGme6wymgopbp,False,2023-10-13,0.736,0.678,5,-4.503,1,0.0464,0.0459,5.46e-06,0.104,0.757,160.045,154360,4
131,0ZPjVmof45INEERgYfadtv,Chasing That Feeling,The Name Chapter: FREEFALL,63fWdGyeBj8VDjvHSUROx3,False,2023-10-13,0.69,0.842,10,-4.288,0,0.0739,0.0153,0.0,0.0639,0.626,141.994,182670,4
132,1qosh64U6CR5ki1g1Rf2dZ,Love Lee,Love Lee,47xcjDSi1t6pQE2RvXKdUF,False,2023-08-21,0.914,0.532,5,-6.6,0,0.0734,0.453,4.57e-06,0.169,0.706,100.029,179683,4
133,7jzOZuWgZ5gaMet9V5Ix1d,Fast Forward,GAME PLAN,7xMXoWstClAzBIo5lOAASu,False,2023-08-07,0.745,0.619,6,-5.782,0,0.0479,0.00125,0.000295,0.117,0.797,124.0,160578,4
134,6ehWdR7cGDXnT7aKEASJxE,3D (feat. Jack Harlow),3D (feat. Jack Harlow),4DKnznk5VbGVvAOYBbQrZJ,True,2023-09-29,0.853,0.824,1,-3.287,1,0.103,0.0322,0.0,0.0859,0.888,108.044,201812,4
135,0pHylQR53epYtRcVIhUSCh,I Love My Body,I Love My Body,7Lbc8drIJGlYLT4hdcBvre,False,2023-09-06,0.806,0.612,6,-3.249,0,0.0465,0.0547,4.16e-06,0.0843,0.462,140.014,150176,4
136,6zZWoHlF2zNSLUNLvx4GUl,Better Things,Better Things,1SHLOv0DDdRecK60z86Lth,False,2023-08-18,0.782,0.767,0,-5.383,1,0.0529,0.11,0.00323,0.496,0.548,115.027,203216,4
137,4Cyf87ul1le0xTWRFBoYd7,Killin’ Me Good,ZONE,1GIkapvyAw5lwdNw66hI44,False,2023-08-18,0.745,0.918,5,-0.683,1,0.0741,0.204,0.0,0.0449,0.647,111.966,185920,4
138,3syxwxJqX5jpgjNYmvzdW6,CAKE,KILL MY DOUBT,6P01cKb7sdwfnNpuMLNEik,False,2023-07-31,0.801,0.758,7,-4.31,1,0.0445,0.0663,4.1e-06,0.0431,0.576,103.07,198887,4
139,6Pjzy9avwlVr4UAbxkQQmh,NEW DANCE,NEW DANCE,5iBG5tDegPYWxpzmgYs4KK,False,2023-08-23,0.818,0.777,7,-2.825,1,0.0625,0.195,0.0,0.731,0.688,114.001,198520,4
